"followers","genres","href","id","name","popularity","type","uri"
42152,"reggae rock, south carolina indie","https://api.spotify.com/v1/artists/6nheJ1XoAkaKOLIgHzMbTq","6nheJ1XoAkaKOLIgHzMbTq","Little Stranger",48,"artist","spotify:artist:6nheJ1XoAkaKOLIgHzMbTq"
27782238,"pop","https://api.spotify.com/v1/artists/1McMsnEElThX1knmY4oliG","1McMsnEElThX1knmY4oliG","Olivia Rodrigo",87,"artist","spotify:artist:1McMsnEElThX1knmY4oliG"
43,"","https://api.spotify.com/v1/artists/7mahxSJ3YmAFR5i9QXIEEm","7mahxSJ3YmAFR5i9QXIEEm","Three More Wheels",9,"artist","spotify:artist:7mahxSJ3YmAFR5i9QXIEEm"
301342,"bedroom soul","https://api.spotify.com/v1/artists/0knGpCTbmG4ctl1wzYRZs4","0knGpCTbmG4ctl1wzYRZs4","Dijon",56,"artist","spotify:artist:0knGpCTbmG4ctl1wzYRZs4"
9592720,"dance pop","https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP","6XpaIBNiVzIetEPCWDvAFP","Whitney Houston",74,"artist","spotify:artist:6XpaIBNiVzIetEPCWDvAFP"
287678,"alternative rock, chamber pop, idaho indie, indie rock, lo-fi, noise rock","https://api.spotify.com/v1/artists/3kbBWco9PZ5eSQsNScwG6U","3kbBWco9PZ5eSQsNScwG6U","Built To Spill",47,"artist","spotify:artist:3kbBWco9PZ5eSQsNScwG6U"
850838,"bedroom pop, bedroom soul","https://api.spotify.com/v1/artists/5FxD8fkQZ6KcsSYupDVoSO","5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo",68,"artist","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO"
9636234,"electro, filter house, rock","https://api.spotify.com/v1/artists/4tZwfgrHOc3mvqYlEYSvVi","4tZwfgrHOc3mvqYlEYSvVi","Daft Punk",79,"artist","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi"
7955,"alt-idol, idol rock, j-pixie","https://api.spotify.com/v1/artists/5HumUo2OdKgqtpk2vz1A10","5HumUo2OdKgqtpk2vz1A10","NEO JAPONISM",25,"artist","spotify:artist:5HumUo2OdKgqtpk2vz1A10"
2339465,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie","https://api.spotify.com/v1/artists/536BYVgOnRky0xjsPT96zl","536BYVgOnRky0xjsPT96zl","Two Door Cinema Club",67,"artist","spotify:artist:536BYVgOnRky0xjsPT96zl"
1255,"deep latin jazz","https://api.spotify.com/v1/artists/48XnG6WkLWkpww5oIJib0X","48XnG6WkLWkpww5oIJib0X","Damjan Krajacic",21,"artist","spotify:artist:48XnG6WkLWkpww5oIJib0X"
1435,"","https://api.spotify.com/v1/artists/07qmux75ZCIGFmkjC5K5lX","07qmux75ZCIGFmkjC5K5lX","Kwaj",20,"artist","spotify:artist:07qmux75ZCIGFmkjC5K5lX"
4598949,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap","https://api.spotify.com/v1/artists/5IcR3N7QB1j6KBL8eImZ8m","5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q",70,"artist","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m"
304121,"alternative emo, chill dream pop, dreamo, emo","https://api.spotify.com/v1/artists/0gLjJuczGWhqKVMmVpIT52","0gLjJuczGWhqKVMmVpIT52","Turnover",54,"artist","spotify:artist:0gLjJuczGWhqKVMmVpIT52"
2673648,"jazz blues, neo soul, soul, soul jazz, torch song, vocal jazz","https://api.spotify.com/v1/artists/7G1GBhoKtEPnP86X2PvEYO","7G1GBhoKtEPnP86X2PvEYO","Nina Simone",66,"artist","spotify:artist:7G1GBhoKtEPnP86X2PvEYO"
742457,"pov: indie, vancouver indie","https://api.spotify.com/v1/artists/6fC2AcsQtd9h4BWELbbire","6fC2AcsQtd9h4BWELbbire","Peach Pit",61,"artist","spotify:artist:6fC2AcsQtd9h4BWELbbire"
428927,"pov: indie","https://api.spotify.com/v1/artists/7gHscNMDI8FF8pcgrV8eIn","7gHscNMDI8FF8pcgrV8eIn","Matt Maeson",62,"artist","spotify:artist:7gHscNMDI8FF8pcgrV8eIn"
