"","endTime","artistName","trackName","msPlayed"
"93","2022-08-29 19:28","EarthLife","India",403346
"94","2022-08-29 19:36","Cook & Stans","Absent Minded in Berlin",236084
"95","2022-08-29 19:43","Orbital","Halcyon and On and On",442297
"96","2022-08-29 19:44","Bertholet","Green Tea",71150
"97","2022-08-29 19:49","Four Tet","Parallel 7",279191
"98","2022-08-29 19:50","SwuM","The Dream",121415
"99","2022-08-29 21:00","Biosphere","Angel's Flight",309860
"100","2022-08-29 21:04","Whitney","No Woman",237973
"101","2022-08-29 21:08","Whitney","Valleys (My Love)",236453
"102","2022-08-29 21:11","Whitney","FTA",147585
"103","2022-08-29 21:14","Whitney","Southern Nights",212621
"104","2022-08-29 21:17","Whitney","BLUE",185236
"105","2022-08-29 21:20","Whitney","Take Me Home, Country Roads (ft. Waxahatchee)",165106
"106","2022-08-29 21:24","Whitney","Golden Days",242093
"107","2022-08-29 21:26","Whitney","On My Own",134240
"108","2022-08-29 21:29","Whitney","REAL LOVE",176411
"109","2022-08-29 21:33","Whitney","Strange Overtones",206995
"110","2022-08-29 21:36","Whitney","Bank Head",205687
"111","2022-08-29 21:40","Whitney","A.M. AM",236104
"112","2022-08-29 21:43","Whitney","Take Me Home, Country Roads (ft. Waxahatchee)",165106
"113","2022-08-29 21:46","Whitney","High on a Rocky Ledge",217588
"114","2022-08-29 21:48","Whitney","Something Happen",119439
"115","2022-08-29 21:52","Whitney","Strange Overtones",206995
"116","2022-08-29 21:57","Whitney","Hammond Song",300684
"117","2022-08-29 22:00","Whitney","Crying, Laughing, Loving, Lying",179704
"118","2022-08-29 22:04","Whitney","Rain",228694
"119","2022-08-29 22:06","Whitney","Rainbows & Ridges",139163
"120","2022-08-29 22:09","Whitney","Giving Up",190466
"121","2022-08-29 22:13","Whitney","Used To Be Lonely",228960
"122","2022-08-29 22:16","Whitney","Before I Know It",153480
"123","2022-08-29 22:18","Whitney","Song For Ty",167760
"124","2022-08-29 22:22","Whitney","Valleys (My Love)",236453
"125","2022-08-29 22:24","Whitney","Rhododendron",126560
"126","2022-08-29 22:28","Whitney","My Life Alone",190880
"127","2022-08-29 22:30","Whitney","Day & Night",162600
"128","2022-08-29 22:35","Whitney","Friend Of Mine",249560
"129","2022-08-29 22:38","Whitney","Forever Turned Around",239013
"130","2022-08-29 22:42","Whitney","No Woman - Demo",236326
"131","2022-08-29 22:45","Whitney","The Falls - Demo",141449
"132","2022-08-29 22:49","Whitney","Golden Days - Demo",246666
"133","2022-08-29 22:52","Whitney","Dave's Song - Demo",191605
"134","2022-08-29 22:55","Whitney","You and Me - Demo",175194
"135","2022-08-29 22:58","Whitney","No Matter Where We Go - Demo",170285
"136","2022-08-29 23:00","Whitney","On My Own - Demo",134047
"137","2022-08-29 23:04","Whitney","Polly - Demo",212886
"138","2022-08-29 23:07","Whitney","Follow - Demo",189021
"139","2022-08-29 23:10","Whitney","Southern Nights",212621
"140","2022-08-29 23:14","Whitney","No Woman",237973
"141","2022-08-29 23:17","Whitney","The Falls",140693
"142","2022-08-29 23:21","Whitney","Golden Days",242093
"143","2022-08-29 23:24","Whitney","Dave’s Song",181213
"144","2022-08-29 23:27","Whitney","Light Upon the Lake",189453
"145","2022-08-29 23:30","Whitney","No Matter Where We Go",161746
"146","2022-08-29 23:32","Whitney","On My Own",134240
"147","2022-08-29 23:34","Whitney","Red Moon",102466
"148","2022-08-29 23:37","Whitney","Polly",206026
"149","2022-08-29 23:40","Whitney","Follow",206786
"150","2022-08-29 23:44","Whitney","MEMORY",233794
"151","2022-08-29 23:48","Whitney","COUNTY LINES",202482
"152","2022-08-29 23:51","Whitney","BLUE",185236
"153","2022-08-29 23:55","Whitney","TWIRL",272554
"154","2022-08-29 23:58","Whitney","REAL LOVE",176411
"155","2022-08-30 00:01","Whitney","BLUE",185236
"156","2022-08-30 00:18","Spillage Village","Jupiter (with Mereba & JID feat. EARTHGANG, Jurdan Bryant, Hollywood JB & Benji.)",7500
"157","2022-08-30 00:18","Whitney","TWIRL",24544
"158","2022-08-30 00:23","Spillage Village","Baptize (with JID & EARTHGANG feat. Ant Clemons)",293873
"159","2022-08-30 00:27","Spillage Village","M.O.M",203386
"160","2022-08-30 00:32","Spillage Village","End Of Daze (with EARTHGANG & JID feat. Jurdan Bryant, Mereba & Hollywood JB)",333328
"161","2022-08-30 00:36","Spillage Village","Oshun (with EARTHGANG & 6LACK feat. Jurdan Bryant)",242099
"162","2022-08-30 00:41","Spillage Village","Shiva (with JID & EARTHGANG feat. Benji. & Jurdan Bryant)",260086
"163","2022-08-30 00:44","Spillage Village","Willow Tree",195800
"164","2022-08-30 00:50","Spillage Village","Can't Call It",368883
"165","2022-08-30 00:54","Benji.","Rain",244335
"166","2022-08-30 00:57","Spillage Village","Jupiter (with Mereba & JID feat. EARTHGANG, Jurdan Bryant, Hollywood JB & Benji.)",146715
"167","2022-08-30 01:01","Spillage Village","Mecca (with JID & EARTHGANG)",290035
"168","2022-08-30 01:04","Jurdan Bryant","1419",141119
"169","2022-08-30 01:06","Jurdan Bryant","ENOUGH",124825
"170","2022-08-30 01:08","Jurdan Bryant","TIME SPENT",150783
"171","2022-08-30 01:12","Jurdan Bryant","NOT FOR NOTHING",200000
"172","2022-08-30 01:14","Jurdan Bryant","STEPS",125176
"173","2022-08-30 01:18","Jurdan Bryant","NEEDED",223427
"174","2022-08-30 01:20","Jurdan Bryant","FACE THE CITY",126926
"175","2022-08-30 01:24","Benji.","Rain",244335
"176","2022-08-30 01:27","Benji.","Zola Rose",190261
"177","2022-08-30 01:30","Benji.","Shine",170960
"178","2022-08-30 01:33","Benji.","East Side Bounce",208906
"179","2022-08-30 01:36","Benji.","Black Satin",192045
"180","2022-08-30 01:39","Benji.","No Kidding",148106
"181","2022-08-30 01:43","Benji.","Shake",260360
"182","2022-08-30 01:47","Benji.","Sanctuary",243813
"183","2022-08-30 01:51","Benji.","Elevate",232840
