"track_name","min_played","artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"アーリー・サマー（Remastered）",21.4684333333333,"Ryo Fukui","4V7Ate3UISn8cy06xnAprh","50bEpoP3SQ7z008gIDe5hJ","album","2022-08-26","2022","day","0.36","0.723","2","-9.254","0","0.0424","0.373","0.0773","0.253","0.447","83.183","6j058GIAXtjtacwm3vL5Hh","https://api.spotify.com/v1/audio-analysis/6j058GIAXtjtacwm3vL5Hh","4","1","644053","FALSE","https://api.spotify.com/v1/tracks/6j058GIAXtjtacwm3vL5Hh","FALSE","https://p.scdn.co/mp3-preview/0c9fe45e0e754bcba6cfcc350511cf5792ad9128?cid=c754a384dab5409faec10df188bbe142","1","track","spotify:track:6j058GIAXtjtacwm3vL5Hh","https://open.spotify.com/track/6j058GIAXtjtacwm3vL5Hh","シーナリィ・オブ・ジャパニーズ・ジャズ：ベスト・オブ・福居良","D","minor","D minor"
"Lullaby",21.4675666666667,"Julian Lage","2TSuAchdgVzsAa9wDK1IeT","72SR28cHjGmcS8xaJJ0fve","album","2019-02-22","2019","day","0.312","0.525","9","-11.305","1","0.0283","0.684","0.898","0.126","0.349","80.425","6hxXaxSOXPxNpxIgkhQC6i","https://api.spotify.com/v1/audio-analysis/6hxXaxSOXPxNpxIgkhQC6i","5","1","225603","FALSE","https://api.spotify.com/v1/tracks/6hxXaxSOXPxNpxIgkhQC6i","FALSE","https://p.scdn.co/mp3-preview/c5c74f3244f025d023966b53dba6ab6df99640e6?cid=c754a384dab5409faec10df188bbe142","7","track","spotify:track:6hxXaxSOXPxNpxIgkhQC6i","https://open.spotify.com/track/6hxXaxSOXPxNpxIgkhQC6i","Love Hurts","A","major","A major"
"Lullaby",21.4675666666667,"Julian Lage","2TSuAchdgVzsAa9wDK1IeT","1YlIUjf2RiZfLzvK7Db7mi","album","2015-02-03","2015","day","0.581","0.00735","11","-22.674","0","0.0672","0.963","0.0818","0.0901","0.2","74.938","7HScvgX9U8pdX3fD1J6HYs","https://api.spotify.com/v1/audio-analysis/7HScvgX9U8pdX3fD1J6HYs","4","1","180066","FALSE","https://api.spotify.com/v1/tracks/7HScvgX9U8pdX3fD1J6HYs","FALSE","https://p.scdn.co/mp3-preview/576c6d296a68a15a193485046904bd6660fe2fca?cid=c754a384dab5409faec10df188bbe142","12","track","spotify:track:7HScvgX9U8pdX3fD1J6HYs","https://open.spotify.com/track/7HScvgX9U8pdX3fD1J6HYs","World's Fair","B","minor","B minor"
"Dear To Me",21.4012,"Electric Guest","7sgWBYtJpblXpJl2lU5WVs","4ncZdrGiO459vrUU1yYCCA","album","2017-02-17","2017","day","0.73","0.573","1","-7.009","1","0.0375","0.0508","0.0472","0.062","0.6","117.692","4hh1lvWiUaLMOcVXhyK6TA","https://api.spotify.com/v1/audio-analysis/4hh1lvWiUaLMOcVXhyK6TA","4","1","241480","FALSE","https://api.spotify.com/v1/tracks/4hh1lvWiUaLMOcVXhyK6TA","FALSE",NA,"4","track","spotify:track:4hh1lvWiUaLMOcVXhyK6TA","https://open.spotify.com/track/4hh1lvWiUaLMOcVXhyK6TA","Plural","C#","major","C# major"
"Starboy",21.3284666666667,"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","2ODvWsOgouMbaA5xf0RkJe","album","2016-11-25","2016","day","0.679","0.587","7","-7.015","1","0.276","0.141","6.35e-06","0.137","0.486","186.003","7MXVkk9YMctZqd1Srtv4MB","https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB","4","1","230453","TRUE","https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB","FALSE",NA,"1","track","spotify:track:7MXVkk9YMctZqd1Srtv4MB","https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB","Starboy","G","major","G major"
"BANKROLL (feat. A$AP Rocky & A$AP Ferg)",21.3025833333333,"BROCKHAMPTON","1Bl6wpkWCQ4KVgnASpvzzA","5iwHnTMSgzypmxdmQOr7if","album","2021-06-04","2021","day","0.785","0.539","7","-8.939","0","0.274","0.0818","0","0.107","0.582","149.067","3DpkZtewkU0L76iT6j5gvV","https://api.spotify.com/v1/audio-analysis/3DpkZtewkU0L76iT6j5gvV","4","1","202560","TRUE","https://api.spotify.com/v1/tracks/3DpkZtewkU0L76iT6j5gvV","FALSE","https://p.scdn.co/mp3-preview/02119fde73c9c39e8612a2b5fc00dbc6042d766c?cid=c754a384dab5409faec10df188bbe142","4","track","spotify:track:3DpkZtewkU0L76iT6j5gvV","https://open.spotify.com/track/3DpkZtewkU0L76iT6j5gvV","ROADRUNNER: NEW LIGHT, NEW MACHINE PLUS PACK","G","minor","G minor"
"BANKROLL (feat. A$AP Rocky & A$AP Ferg)",21.3025833333333,"BROCKHAMPTON","1Bl6wpkWCQ4KVgnASpvzzA","6sPcgDto5EI6EBPc2jhDC7","album","2021-04-09","2021","day","0.784","0.539","7","-8.938","0","0.274","0.0818","0","0.106","0.576","149.059","3MK6OsCb4VJGdPxvXjW8Q9","https://api.spotify.com/v1/audio-analysis/3MK6OsCb4VJGdPxvXjW8Q9","4","1","202560","TRUE","https://api.spotify.com/v1/tracks/3MK6OsCb4VJGdPxvXjW8Q9","FALSE","https://p.scdn.co/mp3-preview/c9b9a61ecc64fbf898c91fdb68d875e4b3e937e3?cid=c754a384dab5409faec10df188bbe142","4","track","spotify:track:3MK6OsCb4VJGdPxvXjW8Q9","https://open.spotify.com/track/3MK6OsCb4VJGdPxvXjW8Q9","ROADRUNNER: NEW LIGHT, NEW MACHINE","G","minor","G minor"
"Tomorrow",21.0361,"Whitney Houston","6XpaIBNiVzIetEPCWDvAFP","00EjgohJGEYfe4vP35LVOv","album","2022-12-16","2022","day","0.524","0.199","5","-13.841","1","0.0298","0.829","0","0.0934","0.605","106.876","0ZbD82Oti96RcoQWlOW6Zs","https://api.spotify.com/v1/audio-analysis/0ZbD82Oti96RcoQWlOW6Zs","4","1","207817","FALSE","https://api.spotify.com/v1/tracks/0ZbD82Oti96RcoQWlOW6Zs","FALSE","https://p.scdn.co/mp3-preview/1abd1ad049f753bb9e4f4bfd587c9ca15d12bd43?cid=c754a384dab5409faec10df188bbe142","13","track","spotify:track:0ZbD82Oti96RcoQWlOW6Zs","https://open.spotify.com/track/0ZbD82Oti96RcoQWlOW6Zs","I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)","F","major","F major"
"Satellite",20.91615,"Harry Styles","6KImCVD70vtIoJWnq6nGn3","5r36AJ6VOJtp00oxSkBZ5h","album","2022-05-20","2022","day","0.576","0.457","0","-6.473","1","0.0304","0.143","3.05e-05","0.0917","0.301","138.984","0rzaRSujxA0bKyjJl6vHYq","https://api.spotify.com/v1/audio-analysis/0rzaRSujxA0bKyjJl6vHYq","4","1","218577","FALSE","https://api.spotify.com/v1/tracks/0rzaRSujxA0bKyjJl6vHYq","FALSE","https://p.scdn.co/mp3-preview/cff61b71737a5d6389666dde5d14a2d76e04fe7b?cid=c754a384dab5409faec10df188bbe142","11","track","spotify:track:0rzaRSujxA0bKyjJl6vHYq","https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq","Harry's House","C","major","C major"
"Satellite",20.91615,"Elton John","3PhoLpVuITZKcymswpck5b","0xuxPr53iRlhWCu7QqHH24","album","1985-11-07","1985","day","0.735","0.726","4","-9.853","1","0.0533","0.0864","0.00372","0.0364","0.899","157.984","6Xj6fvQHPBCQvLX4Z4lBl5","https://api.spotify.com/v1/audio-analysis/6Xj6fvQHPBCQvLX4Z4lBl5","4","1","277800","FALSE","https://api.spotify.com/v1/tracks/6Xj6fvQHPBCQvLX4Z4lBl5","FALSE",NA,"7","track","spotify:track:6Xj6fvQHPBCQvLX4Z4lBl5","https://open.spotify.com/track/6Xj6fvQHPBCQvLX4Z4lBl5","Ice On Fire","E","major","E major"
